codigo_ibge,regiao_covid,codigo_regiao_covid
4312807,CAXIAS DO SUL - R23 R24 R25 R26,17
4312906,CAXIAS DO SUL - R23 R24 R25 R26,17
4312955,PALMEIRA DAS MISSOES - R15 R20,12
4313003,LAJEADO - R29 R30,20
4313011,SANTA ROSA - R14,11
4313037,SANTA MARIA - R01 R02,1
4313060,NOVO HAMBURGO - R07,5
4313086,CAXIAS DO SUL - R23 R24 R25 R26,17
4313102,SANTA MARIA - R01 R02,1
4313201,CAXIAS DO SUL - R23 R24 R25 R26,17
4313300,CAXIAS DO SUL - R23 R24 R25 R26,17
4313334,IJUI - R13,10
4313359,CAXIAS DO SUL - R23 R24 R25 R26,17
4313375,CANOAS - R08,6
4313490,PALMEIRA DAS MISSOES - R15 R20,12
4313391,CACHOEIRA DO SUL - R27,18
4313409,NOVO HAMBURGO - R07,5
4313425,SANTA ROSA - R14,11
4313441,PALMEIRA DAS MISSOES - R15 R20,12
4313466,PALMEIRA DAS MISSOES - R15 R20,12
4313508,CAPAO DA CANOA - R04 R05,3
4313607,PASSO FUNDO - R17 R18 R19,14
4313656,CAPAO DA CANOA - R04 R05,3
4313706,PALMEIRA DAS MISSOES - R15 R20,12
4313805,PALMEIRA DAS MISSOES - R15 R20,12
4313904,IJUI - R13,10
4313953,SANTA CRUZ DO SUL - R28,19
4314001,CAXIAS DO SUL - R23 R24 R25 R26,17
4314027,SANTA MARIA - R01 R02,1
4314035,CANOAS - R08,6
4314050,TAQUARA - R06,4
4314068,CACHOEIRA DO SUL - R27,18
4314076,SANTA CRUZ DO SUL - R28,19
4314100,PASSO FUNDO - R17 R18 R19,14
4314134,ERECHIM - R16,13
4314159,LAJEADO - R29 R30,20
4314175,PELOTAS - R21,15
4314209,PELOTAS - R21,15
4314308,IJUI - R13,10
4314407,PELOTAS - R21,15
4314423,CAXIAS DO SUL - R23 R24 R25 R26,17
4314456,PALMEIRA DAS MISSOES - R15 R20,12
4314464,CAXIAS DO SUL - R23 R24 R25 R26,17
4314472,SANTA MARIA - R01 R02,1
4314498,PALMEIRA DAS MISSOES - R15 R20,12
4314506,PELOTAS - R21,15
4314548,CAXIAS DO SUL - R23 R24 R25 R26,17
4314555,SANTO ANGELO - R11,8
4314605,PELOTAS - R21,15
4314704,PALMEIRA DAS MISSOES - R15 R20,12
4314753,LAJEADO - R29 R30,20
4314779,PASSO FUNDO - R17 R18 R19,14
4314787,ERECHIM - R16,13
4314803,NOVO HAMBURGO - R07,5
4314902,PORTO ALEGRE - R09 R10,7
4315008,SANTA ROSA - R14,11
4315057,SANTA ROSA - R14,11
4315073,SANTA ROSA - R14,11
4315107,SANTO ANGELO - R11,8
4315131,LAJEADO - R29 R30,20
4315149,NOVO HAMBURGO - R07,5
4315156,LAJEADO - R29 R30,20
4315172,CAXIAS DO SUL - R23 R24 R25 R26,17
4315206,LAJEADO - R29 R30,20
4315305,URUGUAIANA - R03,2
4315313,ERECHIM - R16,13
4315321,SANTA MARIA - R01 R02,1
4315354,CRUZ ALTA - R12,9
4315404,PALMEIRA DAS MISSOES - R15 R20,12
4315453,LAJEADO - R29 R30,20
4315503,SANTA MARIA - R01 R02,1
4315552,ERECHIM - R16,13
4315602,PELOTAS - R21,15
4315701,SANTA CRUZ DO SUL - R28,19
4315750,TAQUARA - R06,4
4315800,LAJEADO - R29 R30,20
4315909,PALMEIRA DAS MISSOES - R15 R20,12
4315958,SANTO ANGELO - R11,8
4316006,TAQUARA - R06,4
4316105,PALMEIRA DAS MISSOES - R15 R20,12
4316204,PALMEIRA DAS MISSOES - R15 R20,12
4316303,SANTO ANGELO - R11,8
4316402,URUGUAIANA - R03,2
4316428,PALMEIRA DAS MISSOES - R15 R20,12
4316436,CRUZ ALTA - R12,9
4316451,CRUZ ALTA - R12,9
4316477,SANTO ANGELO - R11,8
4316501,CANOAS - R08,6
4316600,PASSO FUNDO - R17 R18 R19,14
4316709,CRUZ ALTA - R12,9
4316733,PASSO FUNDO - R17 R18 R19,14
